"Subjects","Valence","Noise","Neighbourhood","Socioeconomic","Sex"
11,"Positive",0.01014125173,"StaAna","Middle","Male"
11,"Positive",0.01414047084,"StaAna","Middle","Male"
11,"Negative",0.007529753561,"StaAna","Middle","Male"
12,"Negative",0.03353483907,"StaAna","Middle","Female"
12,"Negative",0.02985025851,"StaAna","Middle","Female"
12,"Positive",0.01943189546,"StaAna","Middle","Female"
12,"Negative",0.04279481535,"StaAna","Middle","Female"
12,"Negative",0.02081580069,"StaAna","Middle","Female"
12,"Negative",0.03307569489,"StaAna","Middle","Female"
12,"Negative",0.02252861739,"StaAna","Middle","Female"
12,"Negative",0.01822026255,"StaAna","Middle","Female"
12,"Positive",0.01803668931,"StaAna","Middle","Female"
12,"Negative",0.01905439255,"StaAna","Middle","Female"
12,"Negative",0.01901328409,"StaAna","Middle","Female"
12,"Negative",0.02153545051,"StaAna","Middle","Female"
12,"Negative",0.03958923583,"StaAna","Middle","Female"
13,"Positive",0.01650055114,"Colon","High","Male"
13,"Negative",0.0162956105,"Colon","High","Male"
13,"Positive",0.02296970943,"Colon","High","Male"
13,"Positive",0.02036055959,"Colon","High","Male"
13,"Negative",0.02499202964,"Colon","High","Male"
13,"Positive",0.01351823019,"Colon","High","Male"
13,"Positive",0.00816960378,"Colon","High","Male"
13,"Positive",0.01139183805,"Colon","High","Male"
13,"Positive",0.005993203186,"Colon","High","Male"
13,"Negative",0.02166264257,"Colon","High","Male"
13,"Negative",0.008652426332,"Colon","High","Male"
13,"Negative",0.02807830213,"Colon","High","Male"
13,"Negative",0.02105786366,"Colon","High","Male"
13,"Negative",0.01700510102,"Colon","High","Male"
13,"Positive",0.02075587798,"Colon","High","Male"
13,"Negative",0.01036945663,"Colon","High","Male"
13,"Negative",0.04368350879,"Colon","High","Male"
13,"Positive",0.04820662529,"Colon","High","Male"
13,"Positive",0.0571119946,"Colon","High","Male"
13,"Negative",0.03059620073,"Colon","High","Male"
13,"Negative",0.02179841494,"Colon","High","Male"
13,"Negative",0.02334682456,"Colon","High","Male"
14,"Positive",0.002299649653,"Colon","High","Female"
14,"Positive",0.002500944003,"Colon","High","Female"
14,"Positive",0.005467493423,"Colon","High","Female"
14,"Negative",0.01821090832,"Colon","High","Female"
14,"Positive",0.003989261639,"Colon","High","Female"
14,"Positive",0.001533163987,"Colon","High","Female"
14,"Positive",0.008151225833,"Colon","High","Female"
14,"Negative",0.02156497306,"Colon","High","Female"
14,"Negative",0.01815698241,"Colon","High","Female"
