Subjects,Valence_num,Valence,Noise,Pedestrians,Cars,Pupil,Neighbourhood_num,Neighbourhood,Socioeconomic_num,Socioeconomic,Sex_num
10,0,Negative,0.01019244645,0,0,2.880125986,2,StaAna,1,Middle,0
10,1,Positive,0.005446700771,0,0,3.082015679,2,StaAna,1,Middle,0
10,0,Negative,0.05209911769,0.587628866,0.587628866,[],2,StaAna,1,Middle,0
10,1,Positive,0.002759775351,0,0,2.745027599,2,StaAna,1,Middle,0
10,0,Negative,0.01116245255,0,0.05154639175,3.007537829,2,StaAna,1,Middle,0
10,1,Positive,0.009654688534,0,0.2989690722,3.170117289,2,StaAna,1,Middle,0
10,1,Positive,0.004627388742,0.4329896907,1.371134021,3.140814665,2,StaAna,1,Middle,0
10,1,Positive,0.006103886972,0.9278350515,1.896907216,2.745825539,2,StaAna,1,Middle,0
10,0,Negative,0.01208540209,0.02040816327,0.01020408163,2.960237034,2,StaAna,1,Middle,0
11,0,Negative,0.0432850066,0,1.670103093,[],2,StaAna,1,Middle,0
11,1,Positive,0.01974747675,0,1.484536082,2.267000851,2,StaAna,1,Middle,0
11,1,Positive,0.02359213298,0.206185567,2.226804124,1.90979797,2,StaAna,1,Middle,0
11,0,Negative,0.01636660978,0.3195876289,1.237113402,[],2,StaAna,1,Middle,0
11,1,Positive,0.02129423758,0,0,2.151180215,2,StaAna,1,Middle,0
11,0,Negative,0.03689104769,0,0.4845360825,2.083766609,2,StaAna,1,Middle,0
11,0,Negative,0.01957271489,0,0,1.885694962,2,StaAna,1,Middle,0
11,0,Negative,0.04752939961,0,0,2.034315046,2,StaAna,1,Middle,0
11,1,Positive,0.02753298303,0,1.134020619,2.145481721,2,StaAna,1,Middle,0
11,1,Positive,0.0090763276,0.7525773196,0.8144329897,[],2,StaAna,1,Middle,0
11,1,Positive,0.01014125173,0.01030927835,0.01030927835,[],2,StaAna,1,Middle,0
11,1,Positive,0.01414047084,0.4329896907,1.556701031,[],2,StaAna,1,Middle,0
11,0,Negative,0.007529753561,0.05102040816,0.9081632653,[],2,StaAna,1,Middle,0
12,0,Negative,0.03353483907,0.1134020619,1.525773196,2.051575849,2,StaAna,1,Middle,1
12,0,Negative,0.02985025851,0.3505154639,0.6701030928,2.527996868,2,StaAna,1,Middle,1
12,1,Positive,0.01943189546,0,0.175257732,2.751059618,2,StaAna,1,Middle,1
12,0,Negative,0.04279481535,1,0,2.35,2,StaAna,1,Middle,1
12,0,Negative,0.02081580069,0,0.4948453608,2.204440444,2,StaAna,1,Middle,1
12,0,Negative,0.03307569489,0,0.6804123711,2.616085546,2,StaAna,1,Middle,1
12,0,Negative,0.02252861739,0.5154639175,0.5154639175,2.635658035,2,StaAna,1,Middle,1
12,0,Negative,0.01822026255,0.9690721649,1.051546392,2.640744767,2,StaAna,1,Middle,1
12,1,Positive,0.01803668931,0.3711340206,0.9896907216,[],2,StaAna,1,Middle,1
12,0,Negative,0.01905439255,2.12371134,0.9381443299,[],2,StaAna,1,Middle,1
12,0,Negative,0.01901328409,0.3298969072,0.1134020619,[],2,StaAna,1,Middle,1
12,0,Negative,0.02153545051,0.6082474227,0.5051546392,[],2,StaAna,1,Middle,1
12,0,Negative,0.03958923583,0.65,1.5,[],2,StaAna,1,Middle,1
13,1,Positive,0.01650055114,0,0.6979166667,2.589336481,3,Colon,2,High,0
13,0,Negative,0.0162956105,0.01030927835,0.9896907216,2.370900745,3,Colon,2,High,0
13,1,Positive,0.02296970943,0,0.2577319588,2.063779527,3,Colon,2,High,0
13,1,Positive,0.02036055959,0,0,2.14678336,3,Colon,2,High,0
13,0,Negative,0.02499202964,0,0.0618556701,2.61,3,Colon,2,High,0
13,1,Positive,0.01351823019,0,0.01030927835,2.157913303,3,Colon,2,High,0
13,1,Positive,0.00816960378,0,0.05154639175,2.302156925,3,Colon,2,High,0
13,1,Positive,0.01139183805,0.2268041237,0.6804123711,2.301006143,3,Colon,2,High,0
13,1,Positive,0.005993203186,0,0,2.490557632,3,Colon,2,High,0
